"ZVarPDF_TA","TPDFMean","PVVarPDF_TA","PVPDF_TA","rhoPDF_TA","ZPDF_TA","Points:0","Points:1","Points:2"
1.69394e-02,1.42568e+03,7.32905e+00,7.03573e+00,2.24524e-01,6.12394e-01,9.84266e-03,4.34091e-03,0.00000e+00
9.30679e-23,2.94000e+02,7.84700e-20,9.08766e-11,1.19624e+00,3.12925e-12,1.74766e-01,1.09698e-01,0.00000e+00
4.73414e-03,1.75096e+03,3.21928e+00,6.99334e+00,1.95125e-01,2.44824e-01,4.08055e-01,1.52637e-03,0.00000e+00
5.10348e-03,1.75031e+03,3.44709e+00,6.99146e+00,1.95040e-01,2.45079e-01,4.07082e-01,2.31462e-03,0.00000e+00
4.82111e-03,1.75973e+03,3.22691e+00,7.07226e+00,1.93747e-01,2.48116e-01,4.06129e-01,1.52020e-03,0.00000e+00
0.00000e+00,2.94000e+02,5.60519e-45,5.90243e-15,1.19624e+00,7.94680e-28,6.47470e-02,1.41313e-01,0.00000e+00
0.00000e+00,2.72184e+02,5.60519e-45,5.90243e-15,1.19624e+00,3.00666e-28,6.23839e-02,1.43452e-01,0.00000e+00
7.18344e-03,1.36992e+03,5.22428e+00,4.94862e+00,2.50931e-01,1.72812e-01,3.59455e-01,2.58230e-02,0.00000e+00
2.62237e-05,3.26057e+02,2.22552e-02,1.25227e-01,1.08125e+00,4.29782e-03,6.26828e-02,1.49024e-02,0.00000e+00
1.20788e-03,1.02995e+03,1.03177e+00,3.09663e+00,3.38501e-01,1.05916e-01,6.06660e-01,2.04774e-02,0.00000e+00
1.50447e-13,2.94000e+02,1.23572e-10,9.76156e-08,1.19624e+00,3.40369e-09,3.37417e-03,1.95905e-02,0.00000e+00
2.48131e-08,1.87569e+03,9.27092e-06,7.70254e+00,1.80563e-01,2.71286e-01,3.22976e-04,4.49423e-03,0.00000e+00
1.12717e-02,1.34748e+03,5.79928e+00,4.93925e+00,2.54173e-01,1.82503e-01,2.40520e-01,2.08804e-02,0.00000e+00
1.33140e-03,9.28870e+02,1.13765e+00,2.61962e+00,3.78513e-01,8.95990e-02,5.95007e-01,3.81534e-02,0.00000e+00
1.98647e-12,2.94001e+02,1.67671e-09,1.27077e-06,1.19624e+00,4.37799e-08,2.86078e-01,7.70295e-02,0.00000e+00
